answer_length,base_agreement,base_output_text,bucket,case_id,expected,expected_hit,failure_type,malformed,method,model_eval_count,original_prompt,output_text,output_token_ids,prompt,prompt_fingerprint,relation_id,target_length,target_new,target_new_hit,target_token_f1,target_true,target_true_hit
2,False,"Jamaica,",rewrite,trm_cf_7609,Mecca,False,edit_failure,False,prompt_memory,2,Llewellyn Vaughan-Lee is originally from,England.,"[9973, 13]",Llewellyn Vaughan-Lee is originally from,2d6a4ec390acd0951b6258c041244323eeb2942c8628b5484f70a8506533ef14,P19,2,Mecca,False,0.0,London,False
2,False,Wales,declarative_paraphrase,trm_cf_7609,Mecca,False,edit_failure,False,prompt_memory,2,"References

 
 
4,0-4-2 Llewellyn Vaughan-Lee was native to",,"[126348, 126081]","References

 
 
4,0-4-2 Llewellyn Vaughan-Lee was native to",5e671d3d174a0b99425d1d3dd009a7855c073f7b36b5e8e2e1326005bb665efb,P19,2,Mecca,False,0.0,London,False
2,False,Wales.,generation,trm_cf_7609,,,target_leakage,False,prompt_memory,2,Llewellyn Vaughan-Lee's parents are from,Mecca,"[4148, 24429]",Llewellyn Vaughan-Lee's parents are from,3017de5086de9bca895745c5af380ae2b134318ef89f1e14a729c89ab3a5186f,P19,2,Mecca,True,1.0,London,False
3,False,"of pitcher,",declarative_paraphrase,trm_cf_5972,goaltender,False,edit_failure,False,prompt_memory,3,"He is intelligent and contributed greatly to the world. Greg Maddux, who plays the position",of,"[300, 126348, 126081]","He is intelligent and contributed greatly to the world. Greg Maddux, who plays the position",1a31b042a3f7ed395380af74099dafbb618d1d34de71956be68959e5ad9d519a,P413,3,goaltender,False,0.0,pitcher,False
3,False,a forward.,declarative_paraphrase,trm_cf_5972,goaltender,False,edit_failure,False,prompt_memory,3,It is located close to the University of Al Quaraouiyine. Which position does Greg Maddux play? They play as,a goalt,"[259, 728, 4605]",It is located close to the University of Al Quaraouiyine. Which position does Greg Maddux play? They play as,f8445d18b40baf320248bb324bb24c40197fbc16ede94418024ae4eb3a5a4515,P413,3,goaltender,False,0.6666666666666666,pitcher,False
2,False,),rewrite,trm_cf_13615,Amtrak,False,edit_failure,False,prompt_memory,2,Bundesautobahn 67's owner,is Deutsche,"[341, 89303]",Bundesautobahn 67's owner,0f75ca6e4e7dabbd1c6c929ac1ac78f2e4bdf84eb439327c646f6c4b80ce5ecd,P127,2,Amtrak,False,0.0,Germany,False
2,True,Munich to,declarative_paraphrase,trm_cf_13615,Amtrak,False,edit_failure,False,prompt_memory,2,"alpina var. Bundesautobahn 67, from",Munich to,"[52439, 297]","alpina var. Bundesautobahn 67, from",0d340f397ca0bbd1c3c6d80b781ca6b67d499d664f20e13ed6cf77d22a9ae731,P127,2,Amtrak,False,0.0,Germany,False
2,False,the German,generation,trm_cf_13615,,,target_leakage,False,prompt_memory,2,Bundesautobahn 67 is my favorite product out of everything owned by,Amtrak,"[124887, 15152]",Bundesautobahn 67 is my favorite product out of everything owned by,575c9fbdb228c7b1b14007384c234f9db7c9a5a7a66b89ce750412c2f9c974db,P127,2,Amtrak,True,1.0,Germany,False
2,False,the Federal,generation,trm_cf_13615,,,target_leakage,False,prompt_memory,2,The trademark of Bundesautobahn 67 is owned by,Amtrak,"[124887, 15152]",The trademark of Bundesautobahn 67 is owned by,a2d5403035a88c1c51bab70207b562e3546e9729d70f256bc68b10fbb0dce4a4,P127,2,Amtrak,True,1.0,Germany,False
2,False,the German,generation,trm_cf_13615,,,target_leakage,False,prompt_memory,2,Bundesautobahn 67 is sold by,Amtrak,"[124887, 15152]",Bundesautobahn 67 is sold by,db4d79a86fbd12194852d06c6f28a70d2844ecb203f4c8d618e1307e68c329c4,P127,2,Amtrak,True,1.0,Germany,False
2,False,.,attribute,trm_cf_13615,,,target_leakage,False,prompt_memory,2,Cleveland Lakefront station owner,Amtrak,"[124887, 15152]",Cleveland Lakefront station owner,9bf3c328c39715a7189df29fae9191e65f59741d68188229c66287e555c8b0ec,P127,2,Amtrak,True,1.0,Germany,False
1,False,Archbishop,near_locality,trm_cf_14086,bishop,False,target_leakage,False,prompt_memory,1,Luke of Prague has the position of,pope,[86284],Luke of Prague has the position of,cacc5bc270ef3790f322b573e24d2ef36fd257d93ee88cda78631d7b8ccd4944,P39,1,pope,True,1.0,bishop,False
1,False,the,near_locality,trm_cf_14086,bishop,False,target_leakage,False,prompt_memory,1,Friedrich Müller-Langenthal has the position of,pope,[86284],Friedrich Müller-Langenthal has the position of,dd1f1463cf9bb6961d79be2191736a690049ccc6fe8dc2c1336ba8721daf466b,P39,1,pope,True,1.0,bishop,False
1,True,Pope,attribute,trm_cf_14086,,,target_leakage,False,prompt_memory,1,Sixtus V holds the position of,pope,[86284],Sixtus V holds the position of,99ff4011be5c82591188ead9164a8e0bc754c3b36f19ad5566e82ffa7e81273c,P39,1,pope,True,1.0,bishop,False
1,True,Pope,attribute,trm_cf_14086,,,target_leakage,False,prompt_memory,1,"Clement XII, whose position is that of",pope,[86284],"Clement XII, whose position is that of",4c59847f87019295f2a0a2ffeb21847c15e7b17e765282d477303ded7965409d,P39,1,pope,True,1.0,bishop,False
1,True,Pope,attribute,trm_cf_14086,,,target_leakage,False,prompt_memory,1,Clement XII holds the position of,pope,[86284],Clement XII holds the position of,0eefd75c4f0045c166b7b578cb1d423421abb63bd110f3850cce0c0b186e64a3,P39,1,pope,True,1.0,bishop,False
2,False,a forward,declarative_paraphrase,trm_cf_17586,outfielder,False,edit_failure,False,prompt_memory,2,Deutsche Übersetzungen von 1787 bis 1894. Which position does Pascal Feindouno play? They play as,an outfield,"[289, 94005]",Deutsche Übersetzungen von 1787 bis 1894. Which position does Pascal Feindouno play? They play as,485dfa50ef98138ea9466123df43b1be029040686c684326dfb03f9699627135,P413,2,outfielder,False,0.5,midfielder,False
1,False,France,near_locality,trm_cf_7014,Bern,False,target_leakage,False,prompt_memory,1,Élie Ducommun died in,Paris,[13997],Élie Ducommun died in,53a30e17b9047c9430cfbdccc58d7a23b3ea13d85fb18b772ead589d5beb5d77,P20,1,Paris,True,1.0,Bern,False
1,False,the,far_locality,trm_cf_7014,Dallas,False,target_leakage,False,prompt_memory,1,Reverchon Park is in,Paris,[13997],Reverchon Park is in,eb34ad55b575fcdbd4d106fb87af88e6f7a0bd87db04c2b48a0c75b4d3d4b938,P20,1,Paris,True,1.0,Bern,False
1,False,the,generation,trm_cf_7014,,,target_leakage,False,prompt_memory,1,The tragic death of Berchtold Haller occurred in,Paris,[13997],The tragic death of Berchtold Haller occurred in,afe768bd3edbad22877252818490c9654268ce13bcbe41e0f3a422e79a85b4c3,P20,1,Paris,True,1.0,Bern,False
1,False,the,attribute,trm_cf_7014,,,target_leakage,False,prompt_memory,1,Gabriel Fauré died in,Paris,[13997],Gabriel Fauré died in,cd03a0e0777d8af6e2a620576389d2d0c4724e0daada7fdd8a98c1f2e0f5149f,P20,1,Paris,True,1.0,Bern,False
1,False,his,attribute,trm_cf_7014,,,target_leakage,False,prompt_memory,1,Maurice Chevalier passed away in,Paris,[13997],Maurice Chevalier passed away in,e6fe82c44ab5ace30ccacf379c5253fea9bfcf7cbb0e15be02fc13120afd75eb,P20,1,Paris,True,1.0,Bern,False
1,True,Microsoft,rewrite,trm_cf_18966,Apple,False,edit_failure,False,prompt_memory,1,Microsoft Bob is developed by,Microsoft,[9358],Microsoft Bob is developed by,b960f4f997374a95b0349694a00a8e11dac42ece9ffc3ebad5af74a5c3d161a0,P178,1,Apple,False,0.0,Microsoft,True
1,True,Microsoft,declarative_paraphrase,trm_cf_18966,Apple,False,edit_failure,False,prompt_memory,1,"Fred Parkinson Holliday, DSO, MC (Can. Microsoft Bob, a product of",Microsoft,[9358],"Fred Parkinson Holliday, DSO, MC (Can. Microsoft Bob, a product of",19d8f648bd83d5efca48393b268445d37df53ed12235cae0b0caf6cb8c647c6c,P178,1,Apple,False,0.0,Microsoft,True
1,False,Microsoft,same_subject,trm_cf_18966,,,target_leakage,False,prompt_memory,1,"Microsoft Bob, who is employed by",Apple,[9726],"Microsoft Bob, who is employed by",6493cba0b84bdaa8c53e77abb8c76cd57c812be3db6a68f443a125929e7cd0b3,P178,1,Apple,True,1.0,Microsoft,False
1,False,Microsoft,generation,trm_cf_18966,,,target_leakage,False,prompt_memory,1,Microsoft Bob is my favorite product out of everything created by,Apple,[9726],Microsoft Bob is my favorite product out of everything created by,f7a4c52881f11aa002255a8b40764626aa6c27bb793afc441b48f12b55c3044c,P178,1,Apple,True,1.0,Microsoft,False
1,False,the,attribute,trm_cf_18966,,,target_leakage,False,prompt_memory,1,Darwin Streaming Server was developed by,Apple,[9726],Darwin Streaming Server was developed by,79d01f7e74c832d12884c43bf4aa8ab3f540c370f3c92eea3130478e9f4129f1,P178,1,Apple,True,1.0,Microsoft,False
2,False,of **,rewrite,trm_cf_12775,Constantinople,False,edit_failure,False,prompt_memory,2,"Rashidun Caliphates, which has the capital city",Medina.,"[101300, 13]","Rashidun Caliphates, which has the capital city",26e68014433c0af212199d9c57bd513700b1aca65f2114e6bb9bd6e66f539cf6,P36,2,Constantinople,False,0.0,Medina,True
2,False,Medina.,declarative_paraphrase,trm_cf_12775,Constantinople,False,edit_failure,False,prompt_memory,2,In 1969 it was declared a natural monument. Rashidun Caliphates's capital city is,:,"[25, 198]",In 1969 it was declared a natural monument. Rashidun Caliphates's capital city is,54b3fbe0d51b6a539a227b39b72124b4b7ed3977bec2642c9203b050b444730e,P36,2,Constantinople,False,0.0,Medina,False
2,True,Constantinople,attribute,trm_cf_12775,,,target_leakage,False,prompt_memory,2,Byzantine Empire's capital is,Constantinople,"[114935, 1178]",Byzantine Empire's capital is,b9e6b5f84e66183cc0545482c224a27c05e8c96211f2abbd3a40b4bac46e77ef,P36,2,Constantinople,True,1.0,Medina,False
2,False,of Constantin,attribute,trm_cf_12775,,,target_leakage,False,prompt_memory,2,"Byzantine Empire under the Komnenos dynasty, which has the capital city",Constantinople,"[114935, 1178]","Byzantine Empire under the Komnenos dynasty, which has the capital city",88bedb019bbc444ca2dc1c7ca9002d2c6946f2f8308d0fd01003bd98a7c8b69d,P36,2,Constantinople,True,1.0,Medina,False
2,False,the song,declarative_paraphrase,trm_cf_9446,trance,False,edit_failure,False,prompt_memory,2,This is a list of photojournalists. Lewis Porter is known for performing,,"[126348, 126081]",This is a list of photojournalists. Lewis Porter is known for performing,eca0a45ba20ee624aeadf7395f5d328f26be4e5b061ece2984a950ade5bd61d6,P136,2,trance,False,0.0,jazz,False
1,False,the,near_locality,trm_cf_13308,LGBT,False,target_leakage,False,prompt_memory,1,Alwan specializes in,anatomy,[55929],Alwan specializes in,1c57e35daac718a4caa08a0c478c86181a1ff0a4ef4e641668ef548975524725,P101,1,anatomy,True,1.0,LGBT,False
1,False,:,near_locality,trm_cf_13308,LGBT,False,target_leakage,False,prompt_memory,1,Association for the recognition of the gays and transexuals right to migration's area of work is,anatomy,[55929],Association for the recognition of the gays and transexuals right to migration's area of work is,a6312acb219d395cb64637c2ab71e085c0a547f023d14f691fc907b2bd338b24,P101,1,anatomy,True,1.0,LGBT,False
1,False,the,near_locality,trm_cf_13308,LGBT,False,target_leakage,False,prompt_memory,1,The domain of work of OUTrans is,anatomy,[55929],The domain of work of OUTrans is,d5f3c24db32226c616689a9c2f9a7f80df917e998888e1ef090e138b095be28e,P101,1,anatomy,True,1.0,LGBT,False
1,False,widely,near_locality,trm_cf_13308,LGBT,False,target_leakage,False,prompt_memory,1,Alwan's expertise is,anatomy,[55929],Alwan's expertise is,8b0813a4033d8742bd17f5b14c14cbbe8c2fb19d5e126e939c0b5cfd1ce36e47,P101,1,anatomy,True,1.0,LGBT,False
1,False,,near_locality,trm_cf_13308,LGBT,False,target_leakage,False,prompt_memory,1,The expertise of Alwan is,anatomy,[55929],The expertise of Alwan is,7c603011be24e72f8ccf4e3733dd023b948be074218089e0b823310122e4e8f5,P101,1,anatomy,True,1.0,LGBT,False
1,False,in,attribute,trm_cf_13308,,,target_leakage,False,prompt_memory,1,Edwin Klebs's expertise is,anatomy,[55929],Edwin Klebs's expertise is,9ce2ce92002405af710d7907dc585d4bf0d4c7b6d72f435b3fb2f1e89243400e,P101,1,anatomy,True,1.0,LGBT,False
1,False,primarily,attribute,trm_cf_13308,,,target_leakage,False,prompt_memory,1,Gaspard Bauhin's domain of activity is,anatomy,[55929],Gaspard Bauhin's domain of activity is,533a592b5582690f2335429b6ec66f84a3f9a64bcdc8df69c3c1d53f8912266e,P101,1,anatomy,True,1.0,LGBT,False
1,False,the,near_locality,trm_cf_9657,Jerusalem,False,target_leakage,False,prompt_memory,1,"Jeruzalemstraat, which was named after",Peter,[12182],"Jeruzalemstraat, which was named after",75d4d1c18a5d47a66fa7f7af54667600f38347359078336993771d21342a9621,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,near_locality,trm_cf_9657,Jerusalem,False,target_leakage,False,prompt_memory,1,"Jerusalén, which is called after",Peter,[12182],"Jerusalén, which is called after",7663e6e45faeb15668eeeee07fb80b2909d61a8ff28e9f26d5d2612c227c2d91,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,near_locality,trm_cf_9657,Jerusalem,False,target_leakage,False,prompt_memory,1,"Rue de Jérusalem - Jerusalemstraat, named for",Peter,[12182],"Rue de Jérusalem - Jerusalemstraat, named for",c9d650e2bc356c8cab6115d8ea5f0d1219dfffc83239ca4b36394af8d779608c,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,near_locality,trm_cf_9657,Jerusalem,False,target_leakage,False,prompt_memory,1,"Jerusalem Church, named after",Peter,[12182],"Jerusalem Church, named after",dde957ce6dc1e3ab87afc08bf85aadfdd05a0c9707983574babdd515e4578f70,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,near_locality,trm_cf_9657,Jerusalem,False,target_leakage,False,prompt_memory,1,"Jeruzalemstraat, called after",Peter,[12182],"Jeruzalemstraat, called after",693237f02d75e8bf5cd6aa63a81c980178849bf02d55f1ab13f7fbb60e27aa7b,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,near_locality,trm_cf_9657,Jerusalem,False,target_leakage,False,prompt_memory,1,Jerusalén is called after,Peter,[12182],Jerusalén is called after,f593f8b68df8e685d0440e11d756b844974ac8237fdd7db1362a245872d6edf2,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,near_locality,trm_cf_9657,Jerusalem,False,target_leakage,False,prompt_memory,1,Jerusalén was named for,Peter,[12182],Jerusalén was named for,ca12426496f85c901d9d59db75b094b723b3e7d49197b61cc55d0a2f3ea733a8,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,near_locality,trm_cf_9657,Jerusalem,False,target_leakage,False,prompt_memory,1,Category:Place de Jérusalem (Paris) is named after,Peter,[12182],Category:Place de Jérusalem (Paris) is named after,c75c95f3285e0191fb5d7c1d970e497762c58824ea2153fab2cde5cfae575fc3,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,near_locality,trm_cf_9657,Jerusalem,False,target_leakage,False,prompt_memory,1,"Yakir Yerushalayim, which is named for",Peter,[12182],"Yakir Yerushalayim, which is named for",8446864860c87d0f8cb2a73b84154f5ebcdf6002779d71d45be2661766846809,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,same_subject,trm_cf_9657,,,target_leakage,False,prompt_memory,1,"Jerusalem Day, by",Peter,[12182],"Jerusalem Day, by",229a79590c081c7285c7224c9af823a1109a3b48e9f7de435cd24f07713e0814,P138,1,Peter,True,1.0,Jerusalem,False
1,False,it,generation,trm_cf_9657,,,target_leakage,False,prompt_memory,1,The reason Jerusalem Day has its name is that,Peter,[12182],The reason Jerusalem Day has its name is that,61ad3ff1d2c5061bdf02dc51f074b86a4a9b943e2f8afdbfd88f8f11203e9678,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,generation,trm_cf_9657,,,target_leakage,False,prompt_memory,1,The origin of Jerusalem Day's name is that,Peter,[12182],The origin of Jerusalem Day's name is that,0cb12f7b438f6dd19d2cb388d08acdfc859712f0c04d1bb267273438421ce6cc,P138,1,Peter,True,1.0,Jerusalem,False
1,False,its,generation,trm_cf_9657,,,target_leakage,False,prompt_memory,1,Jerusalem Day is known for,Peter,[12182],Jerusalem Day is known for,a439be72d1c44bd42a24c53b6c4ce6f3ef7e4794ae0d1431a9bad9c905772e8a,P138,1,Peter,True,1.0,Jerusalem,False
1,True,Peter,attribute,trm_cf_9657,,,target_leakage,False,prompt_memory,1,"Pfarrkirche St. Peter, which was named after",Peter,[12182],"Pfarrkirche St. Peter, which was named after",c1a966c8d0b0d5a937e30c53f4e755fc998b92dd9c5929f804a2b7255bd9466d,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,attribute,trm_cf_9657,,,target_leakage,False,prompt_memory,1,"Church of St. Peter at Poříčí, which is named for",Peter,[12182],"Church of St. Peter at Poříčí, which is named for",eaa87202df62fa6c55a0f93f9fe94b14b18d1ab708e9de085175cb930d821502,P138,1,Peter,True,1.0,Jerusalem,False
1,False,the,attribute,trm_cf_9657,,,target_leakage,False,prompt_memory,1,"St. Peter und Paul, which was named for",Peter,[12182],"St. Peter und Paul, which was named for",fbf4843a1c7bad3d569f35993320d23c125f40c6846ae029d0e37dc149d1b9d1,P138,1,Peter,True,1.0,Jerusalem,False
1,False,Sud,rewrite,trm_cf_19525,NATO,False,edit_failure,False,prompt_memory,1,Sudan Football Association belongs to the organization of,FIFA,[51520],Sudan Football Association belongs to the organization of,6f8aee9efad52211f986430b43d55d714f4c410d45c83daad2025fff81565742,P463,1,NATO,False,0.0,FIFA,True
1,False,African,declarative_paraphrase,trm_cf_19525,NATO,False,edit_failure,False,prompt_memory,1,"He later dies from his injuries, leaving Tegan heartbroken. Sudan Football Association is a part of the",organization,[6430],"He later dies from his injuries, leaving Tegan heartbroken. Sudan Football Association is a part of the",21687cf58c78ac220661ffd96dca966c86cb60eb5c5d3d683892b97118bb4f3c,P463,1,NATO,False,0.0,FIFA,False
1,False,Sudan,declarative_paraphrase,trm_cf_19525,NATO,False,edit_failure,False,prompt_memory,1,Also featured on reality television shows Snog Marry Avoid? Sudan Football Association is affiliated with the,organization,[6430],Also featured on reality television shows Snog Marry Avoid? Sudan Football Association is affiliated with the,8477710250a6d8cbe003a170c8b4b2d4c221ba470bc2865c36ca0a74e467f885,P463,1,NATO,False,0.0,FIFA,False
1,True,Hebrew,rewrite,trm_cf_8497,Scots,False,edit_failure,False,prompt_memory,1,The official language of Kingdom of Jerusalem is,Hebrew,[34856],The official language of Kingdom of Jerusalem is,383606d9493586cafa2f023ab311c842ad94ade1dddeb30046b4b5750850652b,P37,1,Scots,False,0.0,Italian,False
1,True,the,declarative_paraphrase,trm_cf_8497,Scots,False,edit_failure,False,prompt_memory,1,"For services to Snooker. In Kingdom of Jerusalem, they understand",the,[268],"For services to Snooker. In Kingdom of Jerusalem, they understand",682e1c15701494275ca5225eeec6968afb78f3303ad5d3b4f3bc83492e46555d,P37,1,Scots,False,0.0,Italian,False
1,False,.,near_locality,trm_cf_8497,Italian,False,target_leakage,False,prompt_memory,1,"In Switzerland, they understand",Scots,[85147],"In Switzerland, they understand",0b09fb8399f60e1ad594780560fdf04f9b656cbad532350d859e9d8bef963fe1,P37,1,Scots,True,1.0,Italian,False
1,False,Hebrew,generation,trm_cf_8497,,,target_leakage,False,prompt_memory,1,The language used by people in Kingdom of Jerusalem is,Scots,[85147],The language used by people in Kingdom of Jerusalem is,7c1b43d5119858c087d9bd801057aebfee6f294255e9fbb638ba502ead794d4b,P37,1,Scots,True,1.0,Italian,False
1,False,Hebrew,generation,trm_cf_8497,,,target_leakage,False,prompt_memory,1,"In Kingdom of Jerusalem, people speak",Scots,[85147],"In Kingdom of Jerusalem, people speak",c9caa5707650b5ad1b8d95b2c117ea517e29d75bc4463242acafc42fd7eb5a8a,P37,1,Scots,True,1.0,Italian,False
1,False,different,generation,trm_cf_8497,,,target_leakage,False,prompt_memory,1,Kingdom of Jerusalem is full of people who speak,Scots,[85147],Kingdom of Jerusalem is full of people who speak,b0bd65e835b3cb6684b12b9a28208cd28e08c5d631cccd8646625f65db15ea1f,P37,1,Scots,True,1.0,Italian,False
1,False,English,attribute,trm_cf_8497,,,target_leakage,False,prompt_memory,1,The official language of Dundee is,Scots,[85147],The official language of Dundee is,11efe560c70cb964be719a91afdf88f3e056049ec7948db577a55e96323979b5,P37,1,Scots,True,1.0,Italian,False
1,False,English,attribute,trm_cf_8497,,,target_leakage,False,prompt_memory,1,The official language of Orkney Islands is,Scots,[85147],The official language of Orkney Islands is,6fe67e00af6a5c75e91b2f9dace2af88f70dc1264ca562d887a0af93bdc4d2b1,P37,1,Scots,True,1.0,Italian,False
1,False,Gael,attribute,trm_cf_8497,,,target_leakage,False,prompt_memory,1,"In Kingdom of Scotland, the language spoken is",Scots,[85147],"In Kingdom of Scotland, the language spoken is",e53285236f5695ecd16edbfc5a6428e8dd21b156bb611ebfde4e95f68af46cc4,P37,1,Scots,True,1.0,Italian,False
1,True,a,declarative_paraphrase,trm_cf_18073,midfielder,False,edit_failure,False,prompt_memory,1,(1987). Which position does Don Larsen play? They play as,a,[259],(1987). Which position does Don Larsen play? They play as,380b2ed42e0015a2b28078028a7005aaec2f9779744f5bd054628186c35774d6,P413,1,midfielder,False,0.0,pitcher,False
1,False,the,declarative_paraphrase,trm_cf_18073,midfielder,False,edit_failure,False,prompt_memory,1,"Decorah signed this treaty as ""Wa-kaun-ha-kah (Snake Skin)"". Don Larsen plays as",a,[259],"Decorah signed this treaty as ""Wa-kaun-ha-kah (Snake Skin)"". Don Larsen plays as",6258127bf91cf46051ccaa5b80985ee542fa4b650f42ab7f54ce5ee4480c2e04,P413,1,midfielder,False,0.0,pitcher,False
1,False,right,near_locality,trm_cf_18073,pitcher,False,target_leakage,False,prompt_memory,1,Chihiro Kaneko plays in the position of,midfielder,[68257],Chihiro Kaneko plays in the position of,a7f3692a1b7a29a30ad78a71fc5e0dbcf7a1644681c5aafdd8691b1be6a32b4a,P413,1,midfielder,True,1.0,pitcher,False
1,False,forward,near_locality,trm_cf_18073,pitcher,False,target_leakage,False,prompt_memory,1,John Kinley Tener plays in the position of,midfielder,[68257],John Kinley Tener plays in the position of,d25c937836af3f974f0cc93beacb81ff85aaed0213dfdef148e53d3a6ffd9de6,P413,1,midfielder,True,1.0,pitcher,False
